musical,synopsis
annie,"Act One  Events take place during the Great Depression in 1933, in the municipal shelter for orphans, in a wing for girls of all ages, with its hierarchy. Where older look after younger, and those – for the smallest ones. Where poverty, denunciations and mutual responsibility prevail. Where there are a lot of kids on which money are allocated, but not all of them reach children.  The action revolves around one orphan named Annie, who left at the entrance to the shelter, with silver pendant’s half and the second half parents had left to themselves to be identified, if they come to take her out of the shelter someday. She was picked up by the owner of the orphanage – angry spinster lady who is very tough to everyone.  Annie really wants to find her parents and she always brings confusion into the ranks of the children from the orphanage, so she is always on the pencil from Miss Hannigan, the owner.  Annie escapes from the orphanage, picks yard dog, then she is arrested by the police, the dog runs away, then Annie comes back in handcuffs to the shelter, and then by a happy coincidence, were chosen by secretary of billionaire Mr. Warbucks, who wants to do a good deed and to take the orphan from the shelter for 2 weeks. Then, there is a mutual feeling of sympathy arises between them as they spend some time together. He wants to adopt the baby Annie, but she wants to find her parents, and after a dramatic scene in his estate, he promises to find her father and mother.  Act two  Following the announcement by Mr. Warbucks on the radio that he would give parents of Annie USD 50.000, if they prove that they are the parents, the owner of a shelter decides to gamble with former prisoner and his sister, telling them of the details (in particular, about the pendant), helping to ensure that they would prove their parental relationship (to get the money and split them).  Fake father and mother claimed Annie and money in the mansion of Mr. Warbucks, demanding a check, but he began to suspect, and with the help of FBI found out that the real parents of Annie died many years ago, and the false fakers are exposed to arrest, together with the owner of the shelter. And Annie presented with puppy, which she lost in the skirmish some time back. Mr. Warbucks signs papers for adoption of Annie, and they're both immensely pleased with this event, as they found kindred spirits in each other."
singinintherain,"This is the story about Don Lockwood – star of silent films, who began his career as a musician, a dancer and even a stuntman. The protagonist barely tolerates the antics of selfish and superficial Lina Lamont, that is his on-screen partner. Despite this, the studio Monumental Pictures at every opportunity connects artists with romantic relationship. This is done exclusively in order to increase their popularity and one of movies with their participation. Interestingly, Lina herself began to believe that between her and Don there is some connection. But in fact, it is a complete lies. At the premiere of a new movie called ‘The Royal Rascal’, actor tells to the assembled audience slightly embellished version of his personal life. Lockwood also voiced his motto, which is as follows: dignity is always worthy.  In order to get away from his fans quickly after the premiere, Don jumps into the first passing-by car, driven by a dancer Kathy Selden. She responds with a sneer on his works and says that the silent antics unworthy of such attention of the public. Later, at some studio party, its head R. F. Simpson demonstrates the guests of the event the filming picture, but they find it almost unimpressive. They estimated it as something vulgar and frivolous. At the same time, Don meets Kathy for the second time. Now he does a mild mocking on her, but receives a response in a couple of minutes in the form of a cake throw. The actor manages to dodge, and the cake flies directly to Lina's face. Obstinate dancer leaves the party as if nothing had happened. The protagonist is shocked by this act, and he really gets interested in person of his new acquaintance. After several weeks of searching, he finds Kathy working in other studio. She confesses that she has always been a big fan of Don’s work.  After the incredible success of film ‘The Jazz Singer’, released by the studio-rival, R. F. Simpson decides to take the next sound joint project of Lockwood and Lamont. He even has a name of the future brainchild – ‘The Duelling Cavalier’. But on the first day of filming team faces many challenges. The most important of these is certainly a raspy voice of Lina and her strong New York’s accent. Disgruntled diction coach tries to teach the actress to pronounce the replica correctly, but to no avail. Screening results also fail: due to improper placement of microphones, sound turned barely audible. In the middle of the scene, it goes out of sync at all, which adds slightly amusing result.  Don, Kathy and Cosmo enter the studio with the idea to turn ‘The Duelling Cavalier’ into a musical called ‘The Dancing Cavalier’, the basis of which should be a number ‘Broadway Melody’. But the question of what to do with Lina’s voice, remains open. Cosmo offers to sound character of Lina with voice of Kathy. R. F. approves the idea, and the result completely justifies itself. However, this fact expectedly frustrates Lina. She arranges hysterics, threatening to sue the studio, but in the end, continues to work.  ‘The Dancing Cavalier’ experiences a huge success at the box office. When the audience asks the actors to sing live, Lina just opens own mouth at synchronized sound. At this point, Don, Cosmo and R. F. raise the curtain and announce the real star – Kathy. Lina leaves the scene in tears, and Don and Kathy continue to bathe in the glory. Passionate kiss of the main characters is a perfect ending of this action."
themusicman,"The action of the musical takes place in 1912. Several salesmen, including the main character, are travelling by train. They are arguing about credits. But their conversation soon moves to a one of well-known scammers. He is famous for deceiving parents, offering to teach their kids playing musical instruments. When he gets money, he disappears. One of the sales representatives stands up and leaves the train. He appears to be that scammer, as his name is written on his suitcase.  We see this cheater in Iowa (River City), where he visits his old friend. There he also becomes acquainted with the only musician in the town – a librarian. The man follows her trying to flirt, but she does not pay attention to him. At home, she is reaching a little girl playing the piano. After this, she argues with her mother about men and high standards of the girl. The student is in love with the little brother of her teacher.  The following day is the fourth of July. The festival is prepared in the school gym. But it is disturbed by a firecracker made by a boy from the bad part of the city. The scammer announces that he is going to prevent sins in the town and will form a band. He still tries to win the librarian’s heart. He is sure she is a right woman for him. He creates a band and many people like it. The ladies of the town find out about his affection and say false things about her inappropriate relations with an old man. The school board tries to get the scammers’ credentials. He comes to the library to win the woman’s attention again. Everyone, including them, starts dancing. They kiss. But the woman still doesn’t like him. But her mother does. She is trying to understand, why her daughter ignores the man. The librarian describes her ideal partner. She finds some evidence about the fraud of the scammer and decides to uncover them to the mayor. But the wagon with instruments arrives, and they have to stop the conversation. As the brother of the woman becomes a part of the band, she starts look at the man differently. She decides not to uncover incriminating facts about him.  The ladies dance in the gym. Everyone joins them. The librarian asks the main hero about his way of teaching. The ladies invite her to dance with them and change their minds about her. The woman is thinking about the scammer, while one of the travelling salesmen appears. He has evidence against the man for the mayor of the town. The woman tries to stop him and kisses him. The salesman is angry and announces to her that the scammer has plenty of girls in every city he has visited. The man comes and tells her about the rumors about her affair. She is sure that the salesman has lied about him as well. They later meet on the bridge and she tells him about the changes in her because of him.  The uniform for the band has come. The friend of the cheater advises him to run, but he refuses. He finds out that the woman is aware of his fraud already. She gives him the evidence. When he hears her singing, the man understands that he is in love with her. The salesman missed his train and returns to uncover the fraud. People of the town are looking for the evidence. The librarian’s brother is disappointed. But the woman says that it was before he met her. The man is arrested. The mayor asks people what to do with the scammer, and the woman protects him. The children in the uniform start playing, everyone is impressed. The man is released."
matilda,"The story starts with the chorus. We see a pregnant woman comes to the hospital and gives birth to a girl. She calls her Matilda. The baby appears to be very beautiful, and the doctor considers her to be the prettiest one, he's ever seen. However, the mother is not interesting in her and only thinks about the dancing competition, while the father has hoped for a son, so he is disappointed and thinks the girl is ugly.  Then a viewer is transferred to present moment. Five years have passed since the birth of Matilda. She lives with the parents and a brother. And she's unhappy. The whole family abuses her. The girl likes reading very much. When she finds out that her father wants to do an unfair deal with some man, she says that it isn't fair and goes to her room to read. In a book, she finds a funny idea. Matilda decides to add hydrogen peroxide to the hair tonic, which her father uses. As a result, he has green hair. Matilda comes to the library and starts the story of a couple of acrobats, who want to have baby. They cannot do it and agree to perform a dangerous act. The girl promises to continue her story next time. Then Matilda goes to school. On the first day, her teacher notices her smartness and abilities & asks the principle to move her to the next class. Nevertheless, the headmistress hates children and rejects the suggestion. After coming home, Matilda meets her father, who is very angry that his deal hasn’t worked. It makes him destroys one of his daughter’s books. In her turn, Matilda puts some glue into his hat.  The girl finds a good friend at school. She also gets to know about the headmistress and her cruel ways of punishing kids. One of the boys has played a trick on the principal, which has made her really angry. But Matilda helps him in a very smart way. The teacher comes to talk to Matilda’s parents, but finds out that they do not care of their daughter’s abilities and talents. She feels powerless. Meanwhile Matilda returns to library and tells another part of her story about acrobats (the woman gets pregnant but has to perform their trick). A bit later, after we find out that Matilda’s friends going to make fun of headmistress, she comes back to the library to continue the story. The acrobat gets injured and dies after giving birth to a daughter. Her cruel sister is asked to help with the baby, but she keeps abusing a little girl. Next time, Matilda is going to finish the story. She comes home and sees that her father has successfully deceived his clients. She is angry, and they quarrel. After this, she is sent to her room. There Matilda finishes the story. Then we see Matilda at school, where the principal is going to punish an innocent boy. The girl is angry and we finally hear what she has been feeling all this time. At the same time, the girl discovers her ability to move objects. The teacher invites her to visit her place. There the teacher tells the story of her childhood, and Matilda understands that it's the same she has told before.  At school, the principal tries to punish the kids again. However, Matilda uses her power, and a superstitious woman runs away. The teacher becomes a new headmistress and finds her parents’ will. Matilda cannot use her powers anymore, as there is no reason for that. The girl’s family has to run away from Mafia. But Matilda wants to stay. Former business partners arrive to punish her father, but she convinces them not to touch her family. The father agrees to leave the girl with the teacher."
springawakening,"In the end of the XIX century, young Wendla began to think about how the children are born. Her mother said that the child is born in people who love each other wholeheartedly. Subject of intimacy excited all adolescents of the local city. One fellow even made to his friend essay of erotic nature, so that he could better understand his dreams. Girls are discussing the possibility of marriage with young fellows to make a list of the most interesting candidates. When they learned that Martha likes Moritz, the others laughed at her. When Wendla went into the woods for flowers, there she met her childhood friend Melchior. Young people realized that their bodies have changed significantly. But they did not dare to admit their interest in this issue.  Moritz made his way to school – he wanted to know in advance the results of examinations. The young man thought his score would be enough to continue his education, but teachers decided otherwise. Martha accidentally told her friends that her father forced her to cohabit. When Wendla met Melchior again in the woods, a girl told him about the tragedy of a friend. The young man was shocked. She asked to hit her – Wendla wanted to understand the pain of Martha. Yielding to the entreaties, Melchior fulfilled the desire of a girl. Angered then on himself, he ran out of the forest and lost his diary. Wendla took this notebook with her. Father of Moritz was greatly disappointed that his son has become a looser. The young man tried to get help from the mother of Melchior, with whom he was friends, but the woman refused to send him money for the trip to the New World. Moritz for the first time thought about suicide.  Being in the hayloft, Melchior complained of his life – his childhood has gone, and the adulthood has not yet arrived. Wendla soon found the boy and gave him his diary back. After the kiss, relationship of a young couple moved into a more intimate plane, although a girl did not think to go this far. After discussing what happened, guy and a girl felt guilty. Father chased Moritz away, and now the young man wandered through the city with a gun in his hand. He met there his childhood friend. It was a girl and she was kicked out of the house, after it became known that her father forced her to cohabit. She told about the shelter, which she found in the artists' colony, and called Moritz with her. At first, the young man refused the offer, but when the young man decided to follow her, she was no longer there. Not finding a girl, Moritz fell into despair and committed suicide. After the funeral, the teacher found in his belongings the essay of Melchior and the latter was accused in the death of a friend.  When Wendla fell ill, mother went with her to the doctor. It soon became clear that a girl was pregnant. Learning of this, shocked Wendla said – mother misinformed her, not telling the truth about the child's conception. When parents of Melchior learned of the deeds of their son, they’ve decided to send him to correctional school. When the boy started a fight with other adolescents, they took from him Wendla’s letter. After reading it aloud, bullies made Melchior aware of the pregnancy of a girl. Soon he has escaped. After returning home, the boy asked Ilse to tell Wendla, that he would wait for her at night in the cemetery. She understood that Melchior did not know anything about what have happened. But she did not dare to tell him the truth. At the cemetery, a young man saw near the grave of Moritz another burial. On the tombstone was Wendla’s name – she died during an abortion. Only ghosts of friend and beloved, who had risen from their graves, saved Melchior from suicide. The young man decided to continue to live and to remember those who were dear to him."
avenueq,"A new person comes to a large city, which, of course, have his own dreams of life and he seeks to implement them. After moving for living in the suitable living block, he meets the very lively characters who are as if a small representative sample of all society. One of them starts to talk to him about gays, and the second – about racism. The longer it goes, the tighter it becomes.  The events that begin then, cannot be called a whirlpool, but still quite reasonably interesting – one of the girls living in the house trying to seduce one of her neighbors, but as he refuses she considers this impossible. Another couple began to play the game with alcohol – whether on the strip, or simply for the sake of an interesting prelude – and it all ends with the act of coitus, eventually. Which affects that later this woman got fired from her job because she missed it without appropriate reasons.  Because of charging one of the characters in his non-traditional gender orientation, he becomes furiously mad, arguing the opposite (too explicit denial indicates not groundless assumptions of others about the topic). While some others decide to get married. And another couple of neighbors – to get apart.  Bright moment, filled with pity about the childhood occurs when the rich Trekkie Monster gives in impulse of the act of charity as much as USD 10 million that a school for monsters was built. After all, he was often teased at a regular school and because of it now he wants that other creations, looking not similar to another, were among their own kind, not being teased.  This play ends that a school for monsters begins to build, and someone finds his vocation (which emphasized with the song “For Now”).  Yes – and the majority of the persons involved – are puppet monsters akin to ones played in various productions, like Muppet Show or Sesame Street, who was led by puppeteers, and latter give them extra emotions."
intheheights,"It is the morning of summer day. The main heroes are being introduced. We see a storeowner – Usnavi, Nina, who comes back from Stanford, the parents, who are searching for a loan to support the business, and a worker Benny – Nina’s love and friend. There is a salon near the shop, where Vanessa (Usnavi’s beloved one) works. She has some financial problems, but stays quite optimistic and dreams of running away. On the behalf of Usnavi, his brother asks her out, she agrees.  Nina tells her parents about a failure at university. The father is really upset, he isn't able to do anything. Nina comes to salon to see Vanessa. There she meets a local gossip girl – the owner. Nina says she has left her studies. At the same time, Usnavi finds out, somebody's purchased lucky lottery ticket. All the characters start dreaming, how they could spend this money. A woman, who's brought Usnavi up (A. Claudia), tells her story. Then she shows viewers, she's one, who has that ticket.  Nina and Benny spend a romantic trip together. Then, during the dinner, Nina’s dad says, he's decided to sell the vehicle service to help paying for studies. Usnavi comes to dance hall with his woman. There, we also see Benny, who's left without job and is extremely angry, and Nina, who's upset. Tension keeps growing. Vanessa and her partner want to make each other feel jealous, and Benny gets drunk. He beats a man, whom Nina's dancing with. Then we see a big fight in that club. The power in whole city goes out. All four characters are standing in the dark club watching each other.  During that time, Usnavi’s brother together with his fellow (graffiti artist) is trying to protect the shop from thieves. They make fireworks. Claudia tells Usnavi, she's bought lucky ticket. We see Benny and Nina quarrelling, but then they kiss. After this, they spend a night together. Today's the 4th of July. Benny worries, what her parents may say about their affair.  Usnavi’s shop’s been robbed. A woman, who has always been a “mother” for him, advises to take ticket and to go back to Dominican Republic (native land of Usnavi) together. He finally agrees. Nina’s dad is furious about her daughter’s relations with Benny. His wife calms him down. Usnavi reveals, who is a lottery winner, and information about his departure. Vanessa’s heart is broken. Everyone celebrates. The father of Nina announces the death of a woman, who’s won a lottery. Nina finally decides to come back to Stanford. A local gossip girl tells everyone that she is going co-sign on the apartment of Vanessa's dream. Vanessa wants to thank her beloved and brings champagne. However, Usnavi isn't able to appreciate it, as he is too frustrated after the death of Claudia – a woman, who has grown him. Benny feels uncertainty about his future with Nina. They stay together till sunset. Usnavi’s brother shows him the mural of A. Claudia. Usnavi's impressed and touched. He decides to stay and says it is his real home."
beautyandthebeast,
thekingandi,"How often do you think about the distant exotic countries? Where the air is saturated with musk and spices, where women bundled up in a weightless silks, and men are strict and harsh, with rigid smiles on the lips, ready to give own life away even in the slightest dispute. Of course, everyone has heard stories about Eastern habits and customs, but not everyone even though he could have imagine that.  Young and eccentric woman named Anna Leonuens together with her son goes to Siam. She received an official letter from the King of Siam named Mongkung, asking about teaching his children at the palace. Anna had been promised a separate house next to the palace, and a monthly salary of twenty pounds. Pretty prestigious for a young widow, whose life only begins anew. Anna is met by Prime Minister from the ship, and together they go to the palace to get acquainted with the King. Anna manages to catch in the reception hall Prince of Burma who sent the king young beautiful maiden named Thupten, as a gift. The minister wants to lead Anna away, but it does not work: a young girl rushes after the King, who, however, do not mind against it.  He introduces her to the female part of the palace and shows where she will live. Woman outraged with such an attitude and a violation of the promise, but the king convenes his children that surround Anna and become familiar with her. Charmed, future teacher agrees to live in the palace temporarily. Gradually, in the day of arrival, all the wives of the king and the new girl, Burmese Thupten, recently gifted to Mongkung, introduced with Anna. She learned a lot from these women about life in the palace and in general in this country. The next day Anna holds first lesson. Geography. A woman gets away the wrong map, the center of which is large Siam, surrounded by a little world, and hangs the correct, accurate map of the world. She tells the children about the wonders of the world: snowflakes falling from the sky; that you can walk on water when there is ice in the winter; about other countries. But the kids, seeing what Anna has made with the map, hearing the wonderful stories, do not believe the teacher and cease to listen and obey, but discipline instantly restores after arrival of the king.  He came to ask about the book, which he saw that Thupten has, his new wife, and Anna says it's ""Uncle Tom's Cabin"", which refers to the issue of slavery and abolitionism, and Anna strongly supports the ideas described in this book upfront of  the royal children. Anna is summoned by the king at night. After many debates, he tells her that he is considered a barbarian and going to be dethroned by the neighboring states, and asks her for help and advice, to bring back own good name.  Long trainings and work on oneself, the struggle between two completely different cultures, totally opposite to each other that two heroes face in their personalities on the way to a common purpose and understanding. And when it seemed that the goal about understanding is reached, turning into a good friendship, all interrupted by the only irreversible thing in the world. There was the death of the king. But Anna agrees to stay in Siam at the request of son of Mongkung, heir of the throne, to continue to teach children, as well as to give advices to the future king."
marypoppins,"The musical starts with an introduction of main characters and the place – Cherry Tree Lane. Banks family is in the center of the plot. The parents have two extremely naughty kids, who need a nanny. However, the latest one has just run away from them. In order to help their parents, children make an advertisement. They want to find an ideal nanny. Nevertheless, the parents're sure, it is not going to work. That’s why they put the ad into the fireplace and burn it. After this, Mary Poppins appears in a few seconds. She has a good qualification and moral. That’s why the family likes her.  Mary Poppins starts taking care of the kids. She teaches them good and wise things. First thing they know from her is that people cannot be judged by their appearance, we should look deeper. The so-called lesson takes place in the park, when they meet a dirty man in worn out clothes.  Besides the naughty children, there is another trouble in the family. The mother is disappointing her spouse and kids. In other words, role of mother seems very hard for her. So, to improve the situation, the woman wants to organize a party. The kids try to spoil it, but Mary gives a good lesson and sorts everything out. Nevertheless, nobody comes to that party. Then Mary brings kids to see their dad at his work in the bank. However, he is very busy and gets angry, when sees them. But some time later, the father changes his mind and understands, how he has changed. He chooses to make a deal, which then turns to the worse.  Mary introduces a Bird woman to the kids, then they meet another woman, who works in a sweet shop. Both children come home. They are very inspired. But they do not know about their dad’s troubles at work. After that deal, he has been suspended from work without payment. He's extremely angry with his children. They're said to go to the nursery, where the fighting for a toy starts. Finally, that toy gets alive and together with Mary tries to teach them to take care of their things. After this, Poppins leaves them for a whole and writes a note.  The mother chooses a new nanny, who used to manage her husband. But she appears to be a tyrant. The children run away to the park, where they meet an old friend. He shows them, how to fly kite, and it becomes a symbol of Mary Poppins coming back. Everyone is happy. The father is also in the park. He is depressed. His wife is looking for him. She has already understood, what damage has been made by his nanny.  Everyone returns home and nannies argue. The new nanny finally disappears, and the parents are pleased. The father receives a letter from work. He thinks, it's the end of career and wants to sell their family heirloom. One of them – an old vase – gets broken. The father is going to clean the pile and find the collection of stars from his childhood. He's wonderful reflection of the past. Then he goes to the bank. His wife wants to support him and follows him to that place. Mary brings children there as well. It turns out, the deal made by the father is extremely good for the bank. He understands that it's Poppins’ words, which have convinced him to make such a choice. When he sees his wife he understands, he has not been good enough towards her. The family is reunited. It's time for Mary to leave them, but they will never forget their nanny."
josephandtheamazingtechnicolordreamcoat,"Familiar to all from the very childhood biblical story about the wise Joseph, finds a second life on the stage. First, there is the narrator, who begins with the familiarization of the family of Joseph, father Jacob and his other twelve sons and their wives. Jacob distinguishes Joseph among other his children, and this, of course, cannot cause nothing else but jealousy among the other brothers, and among the last drops in the sea of ardent opposition becomes bright cloak that the father gives to his beloved son. This is a signal to brothers that it is time to get rid of Joseph.  Brothers caught Joseph, beaten him and sold into slavery to the Egyptians – slave traders, passing through their town and, pre-stained bright coat in the blood of the goat, showed it to Jacob. His son was killed, they said. And they go away in grief, so that after to celebrate the victory over the rival with their wives. Meanwhile, Joseph enters the home of a wealthy Egyptian. He works hard and deserves a high rank among other slaves, but one day the wife of a rich man offers Joseph to share her bed. He refuses, turning on himself the wrath of the scorned woman. In retaliation, woman complains to spouse, stipulating Joseph and accusing him in the attempt to steal her honor. Wrongly adjudged Jew is sent to prison.  There he meets two other slaves, servants of Pharaoh. Butler and baker were his neighbors. In the cramped and damp dungeon walls, they told to Jew their dreams, and Joseph explained to them wisely: butler will be forgiven, and the baker – executed. Predicting of his came true. Soon, rumors of a gift of Joseph reached the Pharaoh’s ears through the mouth of the butler, who heard that Pharaoh is suffered from the strange dreams. Joseph was told to come before the Pharaoh to solve the mystery of his dreams, what could not do other priests of Pharaoh. Joseph easily explained all the dreams of the ruler, receiving by this his mercy.  For many years Joseph helped the Pharaoh wisely govern the country, predicting tribulations and joys. Pharaoh appointed him to be vizier of Egypt and gave a daughter of one of his priests as his wife. Joseph predicted seven years of prosperity and fertility and the seven years of hunger and decline. And when hungry time came, the people of Egypt were ready thanks to him. The Jews, including Joseph's brothers, who betrayed him, was forced to ask for mercy from the Pharaoh and their brother. Joseph forgave his brothers and gave his people shelter and protection on the land of Egypt. Brothers, first quarreling out, found understanding and peace, and Joseph was able to excuse their cruelty. At the end, he appears in front of his father and puts on this bright cloak that Jacob kept for so many years in memory of his son."
mammamia,"Young Sophie is getting married soon. The main dream of 20-year-old girl is to be lead to the altar by her father. Donna brought up Sophie alone, so she does not know the man's name. Finding mother’s personal diary, which she has been writing for 9 months before the birth of a daughter, she found that a woman has had three romancing lines in that period. Sophie decided to invite Sam, Bill & Harry – lovers – at her wedding. She was hoping to find out during the celebration who is her father. Donna did not know anything about the daughter’s intentions. She invited to the wedding of Sophie her friends, with whom previously played in the same music band. The day before the celebration Tanya and Rosie arrived. One of them was rich, already divorced three times, and the other remained unmarried dasher. Women were very happy to see each other, and began to remember the tempestuous past.  Sam, Bill and Harry arrived soon. Donna was very surprised to see her former boyfriends. Sophie had time to ask the men not to tell her mother about the fact that she invited them to the wedding. So, Donna thought that her former lovers decided to come to the celebration at their own. She was very upset because of this, but friends managed to lift her spirit. Sophie thought that immediately would recognize her father as soon as she’ll see him. But unfortunately it did not happen. Shortly the bachelorette party of Sophie has been arranged. Rosie, Donna, and Tanya dressed up in old suits and performed inflaming concert in front of the guests. During a bachelorette party, Sophie tried to find out which of the men is her father. She talked to Sam, Harry and Bill consequentially. Only a third suspected that Sophie might be his daughter. Aunt of Bill left Donna a legacy, so that the woman was able to open her tavern. She asked the man to lead her to the altar, but he advised to discuss it first with Sophie. Suddenly, Donna did not want anyone to know about the fatherhood. Sophie asked Bill not to say anything to her mother. Yielding to the entreaties of the girl, he agreed. Soon, Sam and Harry came to the girl. Every one of them finally realized why she had invited them to the wedding, and promised to take her to the altar. The bride did not know what to do – she did not want to disappoint any of her possible fathers.  After the nightmare's dream of Sophie, Donna began to find out whether her child really wants to get married. But she rejected the doubts of mother. She wanted her children to know the name of own father, so wedding was to be held with Skye. Upset because of a quarrel with her daughter, Donna refused to talk to Sam, who came to talk to her. She still has not forgiven the man for his sudden departure many years ago. Soon Skye learned why Sophie has invited three of her mother's lovers. He accused the girl that she had decided to marry just to find out who her real father is. Sam tried to comfort Sophie, but it did not work. Donna helped her daughter to wear a wedding dress and could not believe that her girl is a grown-up now. She told Sophie about how she disowned her when found out about the pregnancy. Hearing this, the girl asked Donna to take her to the altar. Men were a little upset to hear about this choice of a bride.  When Donna lead Sophie the path to the altar, she told guests that the girl's father is present in the room. But the woman did not know which of the suitors gave life to her daughter – all dating have taken place in a very short period. The men agreed that fatherhood on a third is better than nothing – as long as they can continue to taking care of Sophie. Suddenly she interrupted the ceremony. She told Skye that is not yet ready for the wedding. The groom undertook this with understanding.  Taking advantage of this, Sam decided to make an offer to Donna. The man explained why he left his favorite – he had to cancel own engagement with fiancée that he had. Returning back, Sam learned that Donna has met Bill. As a result, he married his former fiancée. Now the man is divorced. When he learned that Sam still loves her, Donna agreed to become his wife. Wedding ceremony continued. Sophie decided to implement yet another dream, and went to Skye on a long trip abroad."
cats,"It happens 1 time per every year, when the cats horde named Jellicle gather in a common place and decide who will be the next ascender to the Heaviside Layer – some kind of a mystical place. Cats are presented to the audience in order audience to know with whom interaction goes in the musical – as an integral part of the play. From this, we learn about what cats are gathered here and about their distinctive features (for example, the song Mungojerrie and Rumpelteazer or a cat with the funny name Jennyanydots, song The Old Gumbie Cat). Once after the cats ball, the audience learns that the Heaviside Layer is, possibly, some ritual place or both a place and a ritual that would allow one of the cats to reborn to a new life (without showing exactly how it would happen).  Alternately different cats come to the scene and every cat under own song presents himself, with the result that we learn about their character and position in the cat’s hierarchy, and how surrounding ones treat them. For example, there is a large and thick imposing cat, which goes to a club of local cats-gentlemen (or, rather, gentlecats?). Or an old she-cat, whom other cats try to avoid (in the past, she was the star of the theatre but now lost most of the charm). Or we know a couple of idlers, petty thieves and hooligans.  Then the main action begins, when it comes to cat named Old Deuteronomy, old and decrepit, who survived more than one or even more than a dozen of his wives, a mentor who has to choose someone who will follow him in the Heaviside Layer, a sacred place. All the cats begin to dance on the cat's ball, and decrepit old cat Grizabella was trying to dance with them too, but it didn’t work, and so instead she sings Memory – hit song, which greatly added to the popularity of this musical.  After this soulful performance, Grizabella is selected for rebirth and the ceremony of choosing ends with the official song of Old Deuteronomy. On the scene, we see cat Asparagus, which tells about the past own bygone days and as he was known star, but now he is old and decrepit and has palsy paws. Cat Skimbleshanks – mascot of the night train to Glasgow and all the cats are went to the local scrapyard to portray the train – someone turns the wheels made of the materials at hand, and someone shows other details.  Arriving local bully steals an Old Deuteronomy, disguised in his clothes and shows himself like this, but exposed and expelled. Old Deuteronomy returns to the place and the ceremony of ascension begins. Grizabella ascends to the sky on the large tire, sending her recognition to all and a speech until the curtain finals the show."
guysanddolls,"Nathan Detroit is a hardened gambler. He is an expert in his own field and arranges the big games for the big people. His only difficulty at this time is the need to find somewhere the $1,000 and to get away from under dangerous sight of Lieutenant Brannigan.  The question is about the place of the game’s conduction, because in the whole New York City there is only one safe corner left – garage in Baltimore, however, a large deposit was requested for it. Detroit should look for that kind of money in a short time, and he finds a way out, when he suddenly hits a man known in that he can make a bet on anything – Sky Masterson. By negligence, Sky offers Detroit a deal just for that necessary amount, betting that he can take with him to Havana the next day any woman that he only wants to, but Nathan takes this opportunity to call him, earnestly believing that Sarah Brown, leader of the organization ""rescue mission shower"", will not go for that.  Detroit is absolutely sure that the righteous Sarah would not agree to go to Cuba with a man like Sky. Sly Masterson makes a deal with the girl, promising her a dozen of sinners, if she will have dinner with him. Fortunate circumstances convince Sarah to the necessity of this step, and Sky goes with her to Havana.  Of course, it could not happen so that an elegant love line would not opened. For one evening with each other, both realize that their feelings are anxiously huddle on edge, but the next morning, when early they returned to New York, Sarah learns that Sky made a bet on her and that, in her opinion, he is responsible for holding a big game. A man cannot convince her otherwise, but he still remembers his promise about a dozen sinners, and although Sarah does not believe him, he is convinced that he must do for her everything he can.  So Masterson is sent to Nathan, to give him 1000, falsifying his loss, and after bets on the game, to conclude deals with all gamblers on their souls if he wins, against $ 1,000 in case of his loss. After the game, won by Masterson, all participants go to the ""Mission"", at a huge surprise of Sarah, who admits that she should believe in Mr. Sky.  Mr. Detroid eventually, quite sincerely repents, apologizes to his bride that he could not take as a wife for 14 years, and forgets gambling, becoming a decent person. This is all done for the sake of dollies, which they love, after which the name to this show was given."
